Sneaky; Stealth Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Stealth, Speed, Agility; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor); ; Nightclub;
Nightclub; Stealth Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Advanced Stealth, Speed, Agility; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor); Sneaky; Heartbreaker;
Heartbreaker; Artillery Level RT Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Extreme Firepower, Super Durability, Repulsor Shield; Repulsors (Repulsion Mark II), Enhanced Unibeam (Chest Repulsor); Nightclub; Cassanova;
Cassanova; Artillery Level RT Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Advanced Stealth, Super Durability, Extreme Firepower, Repulsor Shield; Repulsors (Repulsion Mark I), Enhanced Unibeam (Chest Repulsor), Mini Missiles, Mini Guns (2); Heartbreaker; Tiger;
Tiger; High-Velocity Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Hyper-Sonic Speed, G-Force Resistance, Super Durability, High Maneuverability; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor), Missiles, Flares; Cassanova; Python;
Python; Fully Loaded Long-Distance Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Flight Durability, High Altitude Flight; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor), Missiles, Laser Weapons, Flares; Tiger; Midas;
Midas; Fully Loaded High-Altitude Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; High Altitude Flight, Low Pressure Resistance, Cold Temperature Resistance; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor), Missiles, Laser Weapons, Flares; Python; Hotrod;
Hotrod; War Machine 2.0 Prototype Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Versatility; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor), 20mm Micro-Cannons (Gauntlet mounted); Midas; Shades;
Shades; Extreme Heat Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Extreme Heat Resistance; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor); Hotrod; Tank;
Tank; Heavy Combat Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Super Durability, Extreme Firepower; Repulsors (Repulsion Mark I), Enhanced Unibeam (Chest Repulsor); Shades; Striker;
Striker; Construction Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Intense Strength; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor), Removable Pneumatic Hammers; Tank; Gamma;
Gamma; Construction Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Gamma Resistance, Heat Resistance, Intense Strength, Electrical Surge Protection; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor), Removable Pneumatic Hammers; Striker; Disco;
Disco; Fully Loaded Chameleon Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Enhanced Camouflage; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor), Missiles, Flares; Gamma; Jack;
Jack; Radiation-Zone Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Radiation Resistance; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor), Mini Missiles; Disco; Fiddler;
Fiddler; Construction Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Pneumatic Force, Super Durability, Extreme Firepower; Repulsors (Repulsion Mark I), Enhanced Unibeam (Chest Repulsor), Left Removable Pneumatic Hammer; Jack; Blue Steel;
Blue Steel; Enhanced Energy Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Enhanced Energy Output; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor), Retractable Vibranium Blades (Per Arm), Flares; Fiddler; Piston;
Piston; Fully Loaded High-Velocity Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; High Speed, Enhanced Energy Output; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor), Missiles, Lasers, Flares; Blue Steel; Romeo;
Romeo; Lightweight Enhanced RT Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Enhanced Power Output, Super Durability, Extreme Firepower, Speed and Agility; Repulsors (Repulsion Mark I), Enhanced Unibeam (Chest Repulsor); Piston; Silver Centurion;
Silver Centurion; Enhanced Energy Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Enhanced Energy Output; Repulsors (Repulsor Mark I), Unibeam (Chest Repulsor Mark II), Retractable Vibranium Blades (Per Arm), Flares; Romeo; Southpaw;
Southpaw; Disaster Rescue Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Protection from Natural Disasters, Super Strength; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor), Single Removable Pneumatic Pincher; Silver Centurion; Red Snapper;
Red Snapper; Disaster Rescue Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Tremendous Strength; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor), Retractable Pneumatic Pinchers; Southpaw; Peacemaker;
Peacemaker; Riot Control Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Durability, Controlling Riots; Sonic Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor); Red Snapper; Hammerhead;
Hammerhead; Deep Sea Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; High-Speed Underwater Travel, Water & Extreme Pressure Resistance; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor), Torpedoes, Electric Field; Peacemaker; Igor;
Igor; Heavy Lifting Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Lifting Heavy Objects, Flight, Extreme Strength; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor); Hammerhead; Gemini;
Gemini; Sub-Orbital Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Sub-Orbit Travel, Heat and Radiation Resistance, Resistance to Cold Temperatures, High Speed Flight; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor), Large Concussive Cannon; Igor; Shotgun;
Shotgun; Hyper-Velocity Traveling Suit Upgrade; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Hyper Velocity Traveling; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor); Gemini; Bones;
Bones; Skeleton Suit; Tony Stark; 2012; Tony Stark, J.A.R.V.I.S.; Iron Man 3; Destroyed; Flexibility, Armor Separation, Speed; Repulsors (Repulsion Mark I), Unibeam (Chest Repulsor); Shotgun; ;
